id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,rating,bedrooms,beds,baths
54305139,Rental unit in Brooklyn,284337887,Eibhlin,Brooklyn,Bedford-Stuyvesant,40.68766,-73.92658,Private room,38.0,30,3,2.0,1,1,2
51634632,Rental unit in Brooklyn,399379000,Brooklyn,Brooklyn,Downtown Brooklyn,40.69026,-73.98886,Entire home/apt,161.0,1,133,4.73,1,1,1
575662739710922304,Bed and breakfast in Brooklyn,224532641,Imperial Stay BnB,Brooklyn,Prospect-Lefferts Gardens,40.65952,-73.94938,Private room,41.0,30,38,4.92,1,1,1.5
923163025015552298,Rental unit in Brooklyn,481502481,Adrian,Brooklyn,Crown Heights,40.67660327971589,-73.94218805913785,Private room,79.0,30,5,4.20,1,1,1.5
26064779,Rental unit in Brooklyn,94669,Keithan,Brooklyn,Bedford-Stuyvesant,40.68441,-73.93886,Private room,34.0,30,90,4.81,1,1,1
42535595,Rental unit in Brooklyn,338790934,Carlos,Brooklyn,Bushwick,40.6958,-73.91255,Entire home/apt,125.0,30,18,4.94,1,1,1
603323604235900959,Condo in Brooklyn,401709949,Daniela & James,Brooklyn,Bushwick,40.69922,-73.93861,Private room,62.0,30,2,No rating,1,1,1
47026093,Rental unit in Queens,179657707,Andres,Queens,Ridgewood,40.70305,-73.91242,Private room,86.0,30,83,4.96,1,1,1
14314,Rental unit in Brooklyn,56246,Jeanne,Brooklyn,Greenpoint,40.73535,-73.95584,Entire home/apt,115.0,30,177,4.82,1,2,1
783628564574548109,Rental unit in Brooklyn,546370,Ekaterina,Brooklyn,Bedford-Stuyvesant,40.6873986,-73.93196999999999,Private room,45.0,30,4,4.50,1,1,2
882504391136032815,Rental unit in Brooklyn,116865007,France,Brooklyn,Greenpoint,40.7319162,-73.9607595,Entire home/apt,225.0,30,1,No rating,1,1,1
49611264,Rental unit in Brooklyn,399379000,Brooklyn,Brooklyn,Downtown Brooklyn,40.69021,-73.98894,Entire home/apt,167.0,1,87,4.66,1,2,1
929250427766839139,Bed and breakfast in Brooklyn,523760774,Joseph,Brooklyn,Flatbush,40.65474528915325,-73.95461727869393,Private room,59.0,30,13,4.69,1,1,1
759312159547321270,Rental unit in Brooklyn,483017091,Andres,Brooklyn,Bushwick,40.69213,-73.91408,Entire home/apt,104.0,30,83,4.88,Studio,1,1
